run_id	Step	normalized_mean_absolute_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	0.1519021872199327
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	0.15491762007311133
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	0.15407857561449517
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	0.153741526626135
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	0.1529758551648081
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	0.15551166130177113
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	0.15214441770337478
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	0.15315705494323356
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	0.15286872447255523
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	0.15295237121266383
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	0.15266561113666915
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	0.15302329739289494
