run_id	Step	explained_variance
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	-0.00017204165979991525
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	0.0011495127096087464
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	-0.003891753038295964
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	-0.005842205066338768
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	-0.00004390551572450718
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	0.00006861799540109903
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	0.0009726191932686978
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	-0.0012518265715755206
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	-0.001882620385138023
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	-0.003744134015125322
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	-0.0004589812186666986
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	-0.00350524249655122
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	-0.001582380702361208
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	-0.004192352909414332
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	0.0007530436653022665
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	0.0019178960461233795
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	-0.0017043285151152165
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	-0.0027077203179848965
